| Game Title                                                                     | Discount   | Original Price   | Discounted Price   |
| Two Point Campus: Space Academy                                                | -20%       | $9.99            | $7.99              |
| Roots of Pacha                                                                 | -15%       | $24.99           | $21.24             |
| Delivery INC                                                                   | -15%       | $14.99           | $12.74             |
| Only Climb: Better Together                                                    | -15%       | $4.99            | $4.24              |
| Amnesia: The Bunker                                                            | -15%       | $24.99           | $21.24             |
| Thief Simulator - Luxury Houses DLC                                            | -15%       | $6.99            | $5.94              |
| Koa and the Five Pirates of Mara                                               | -15%       | $19.99           | $16.99             |
| Arcadian Atlas                                                                 | -15%       | $29.99           | $25.49             |
| The Banished Vault                                                             | -10%       | $24.99           | $22.49             |
| The Ninja Saviors: Return of the Warriors                                      | -10%       | $19.99           | $17.99             |
| Grand Emprise: Time Travel Survival                                            | -10%       | $19.99           | $17.99             |
| Arma 3 Creator DLC: Spearhead 1944                                             | -10%       | $17.99           | $16.19             |
| Trepang2                                                                       | -10%       | $29.99           | $26.99             |
| Komorebi                                                                       | -10%       | $19.99           | $17.99             |
| Double Dragon Gaiden: Rise Of The Dragons                                      | -10%       | $24.99           | $22.49             |
| Let's School                                                                   | -10%       | $19.99           | $17.99             |
| Blasphemous 2                                                                  | -10%       | $29.99           | $26.99             |
| Heavenly Bodies - Cleanup DLC                                                  | -10%       | $7.99            | $7.19              |
| The Texas Chain Saw Massacre                                                   | -10%       | $39.99           | $35.99             |
| nan                                                                            | nan        | nan              | nan                |
